                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.143,                 3.3373,                 4.0951,                 0.0073,                 0.5171,                0.02345,                0.00938,                 2.6643,                 3.5323,                 4.0879,                0.00065,                0.00065,                0.00065
                      2,                 2.9705,                  2.862,                  3.625,                0.03591,                0.15483,                0.01489,                0.00438,                 2.7704,                 6.2245,                 4.2444,              0.0012906,              0.0012906,              0.0012906
                      3,                  2.771,                 2.7626,                 3.3107,                0.02765,                0.05825,                0.00723,                 0.0017,                 3.3622,                  4.943,                 4.6509,              0.0019048,              0.0019048,              0.0019048
                      4,                 2.4962,                 2.5575,                 3.0295,                 0.2073,                0.24878,                0.16601,                0.06015,                 2.2885,                 6.1944,                 3.1566,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.2769,                 2.3286,                  2.783,                0.32186,                0.28335,                0.23871,                0.09056,                 2.0051,                 4.9099,                 2.7917,              0.0018812,              0.0018812,              0.0018812
                      6,                 2.0686,                 2.1425,                  2.623,                0.51489,                0.48403,                0.50303,                0.23625,                 1.8489,                 2.7523,                 2.6216,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.9379,                 1.9355,                 2.4442,                0.54396,                0.51823,                0.55415,                0.27313,                 1.7119,                  4.625,                 2.4779,               0.001802,               0.001802,               0.001802
                      8,                 1.8422,                 1.7607,                 2.3387,                0.59891,                0.62683,                0.64443,                 0.3376,                 1.6123,                 1.9067,                 2.2109,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.7539,                 1.6503,                 2.2524,                0.70527,                0.67193,                0.73975,                0.40816,                 1.5739,                 1.6346,                 2.1064,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.6834,                 1.5448,                 2.1664,                0.72467,                0.71117,                0.75807,                0.43678,                 1.4804,                 1.4716,                 2.0699,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.6525,                 1.4743,                 2.1092,                0.72758,                0.73769,                0.78605,                0.45659,                 1.4688,                 1.3854,                 1.9934,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.6278,                 1.4482,                 2.0787,                0.67511,                0.71665,                0.71073,                0.39999,                 1.4661,                 1.4374,                 1.9958,               0.001604,               0.001604,               0.001604
                     13,                 1.5718,                 1.4123,                 2.0309,                0.73143,                0.78918,                0.79197,                0.46115,                 1.4459,                 1.2833,                 2.0082,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.5338,                 1.3408,                 1.9761,                0.76262,                0.74859,                0.81316,                0.49294,                 1.3833,                 1.2311,                 1.8856,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.5213,                 1.2958,                 1.9694,                 0.7525,                 0.7884,                0.83477,                0.51928,                 1.3313,                 1.2335,                 1.8271,              0.0014852,              0.0014852,              0.0014852
